Date,YOY (%),,,,
28/2/2013,-0.03,,,,
29/3/2013,-0.01,,,,
30/4/2013,-0.07,,,,
31/5/2013,-0.05,,,,
28/6/2013,-0.06,,,,
31/7/2013,-0.04,,,,
30/8/2013,0.04,,,,
30/9/2013,0.00,,,,
31/10/2013,-0.03,,,,
29/11/2013,-0.03,,,,
31/12/2013,-0.05,,,,
31/1/2014,0.02,,,,
28/2/2014,0.04,,,,
31/3/2014,0.02,,,,
30/4/2014,-0.03,,,,
30/5/2014,-0.01,,,,
30/6/2014,0.00,,,,
31/7/2014,0.03,,,,
29/8/2014,0.00,,,,
30/9/2014,-0.03,,,,
31/10/2014,0.00,,,,
28/11/2014,-0.03,,,,
31/12/2014,0.03,,,,
30/1/2015,0.07,,,,
27/2/2015,-0.01,,,,
31/3/2015,-0.02,,,,
30/4/2015,0.02,,,,
29/5/2015,-0.02,,,,
30/6/2015,-0.02,,,,
31/7/2015,-0.03,,,,
31/8/2015,-0.02,,,,
30/9/2015,0.00,,,,
30/10/2015,0.03,,,,
30/11/2015,-0.04,,,,
31/12/2015,-0.02,,,,
29/1/2016,0.03,,,,
29/2/2016,0.08,,,,
31/3/2016,0.04,,,,
29/4/2016,-0.01,,,,
31/5/2016,0.02,,,,
30/6/2016,0.02,,,,
29/7/2016,0.06,,,,
31/8/2016,0.00,,,,
30/9/2016,-0.01,,,,
31/10/2016,-0.04,,,,
30/11/2016,-0.01,,,,
30/12/2016,-0.06,,,,
31/1/2017,0.03,,,,
28/2/2017,0.03,,,,
31/3/2017,0.00,,,,
28/4/2017,0.03,,,,
31/5/2017,-0.03,,,,
30/6/2017,0.00,,,,
31/7/2017,-0.03,,,,
31/8/2017,0.02,,,,
29/9/2017,0.02,,,,
31/10/2017,-0.02,,,,
30/11/2017,0.00,,,,
29/12/2017,-0.02,,,,
31/1/2018,0.04,,,,
28/2/2018,-0.01,,,,
30/3/2018,0.00,,,,
30/4/2018,0.01,,,,
31/5/2018,-0.01,,,,
29/6/2018,-0.01,,,,
31/7/2018,-0.03,,,,
31/8/2018,-0.02,,,,
28/9/2018,-0.01,,,,
31/10/2018,0.02,,,,
30/11/2018,0.01,,,,
31/12/2018,0.02,,,,
31/1/2019,0.03,,,,
28/2/2019,0.02,,,,
29/3/2019,-0.01,,,,
30/4/2019,-0.01,,,,
31/5/2019,0.00,,,,
28/6/2019,0.05,,,,
31/7/2019,0.04,,,,
30/8/2019,0.06,,,,
30/9/2019,0.01,,,,
31/10/2019,-0.01,,,,
29/11/2019,-0.02,,,,
31/12/2019,0.00,,,,
31/1/2020,0.06,,,,
28/2/2020,0.03,,,,
31/3/2020,-0.01,,,,
30/4/2020,0.07,,,,
29/5/2020,0.02,,,,
30/6/2020,-0.01,,,,
31/7/2020,0.05,,,,
31/8/2020,0.05,,,,
30/9/2020,-0.02,,,,
30/10/2020,-0.01,,,,
30/11/2020,-0.02,,,,
31/12/2020,-0.02,,,,
29/1/2021,0.01,,,,
26/2/2021,-0.03,,,,
31/3/2021,-0.04,,,,
30/4/2021,0.02,,,,
31/5/2021,0.04,,,,
30/6/2021,-0.01,,,,
30/7/2021,-0.01,,,,
31/8/2021,-0.01,,,,
30/9/2021,0.00,,,,
29/10/2021,0.01,,,,
30/11/2021,0.03,,,,
31/12/2021,-0.01,,,,
31/1/2022,0.02,,,,
28/2/2022,0.02,,,,
31/3/2022,0.06,,,,
29/4/2022,0.00,,,,
31/5/2022,-0.03,,,,
30/6/2022,-0.01,,,,
29/7/2022,-0.04,,,,
31/8/2022,0.02,,,,
30/9/2022,-0.04,,,,
31/10/2022,-0.01,,,,
30/11/2022,0.02,,,,
30/12/2022,0.02,,,,
31/1/2023,0.05,,,,
28/2/2023,-0.02,,,,
31/3/2023,0.03,,,,
28/4/2023,0.03,,,,
31/5/2023,0.00,,,,
30/6/2023,-0.02,,,,
31/7/2023,-0.01,,,,
31/8/2023,-0.01,,,,
29/9/2023,0.01,,,,
