"Date","Price","Open","High","Low","Vol.","Change %"
"04/01/2011","644.46","609.59","645.31","599.53","","6.15%"
"03/01/2011","607.14","558.66","615.27","552.07","","8.82%"
"02/01/2011","557.91","549.29","593.70","501.24","","1.30%"
"01/01/2011","550.72","555.43","559.90","508.67","","-0.37%"
"12/01/2010","552.77","512.67","556.76","510.60","","8.00%"
"11/01/2010","511.82","501.95","542.07","488.63","","2.62%"
"10/01/2010","498.76","496.77","521.56","490.49","","0.92%"
"09/01/2010","494.24","452.79","495.35","451.41","","9.44%"
"08/01/2010","451.60","501.76","523.87","444.63","","-9.43%"
"07/01/2010","498.60","473.81","502.96","454.62","","3.72%"
"06/01/2010","480.74","470.53","508.14","454.37","","0.54%"
"05/01/2010","478.15","585.10","593.13","434.07","","-18.45%"
"04/01/2010","586.32","580.43","598.37","553.32","","1.84%"
"03/01/2010","575.75","554.86","576.16","539.12","","4.66%"
"02/01/2010","550.10","506.29","556.38","483.86","","8.70%"
"01/01/2010","506.08","563.20","586.09","502.95","","-8.67%"
"12/01/2009","554.12","562.08","562.08","498.65","","-0.03%"
"11/01/2009","554.27","561.23","585.68","523.64","","-0.46%"
"10/01/2009","556.82","509.52","592.84","495.33","","8.37%"
"09/01/2009","513.82","516.98","535.07","473.36","","0.28%"
"08/01/2009","512.37","530.45","548.99","494.06","","-1.93%"
"07/01/2009","522.48","540.53","549.02","445.84","","-2.20%"
"06/01/2009","534.26","523.49","564.94","502.53","","4.18%"
"05/01/2009","512.81","399.44","513.97","397.00","","27.45%"
"04/01/2009","402.35","402.92","444.79","367.88","","-2.49%"
"03/01/2009","412.64","369.35","454.18","339.10","","7.58%"
"02/01/2009","383.57","414.37","429.89","318.27","","-8.68%"
"01/01/2009","420.02","485.91","585.90","394.22","","-18.91%"
"12/01/2008","517.96","643.59","643.59","408.68","","-22.57%"
"11/01/2008","668.90","835.60","893.19","594.18","","-20.87%"
"10/01/2008","845.32","1,251.87","1,279.24","764.42","","-32.48%"
"09/01/2008","1,251.87","1,329.25","1,376.94","1,125.12","","-12.93%"
"08/01/2008","1,437.71","1,532.13","1,600.52","1,388.52","","-6.99%"
"07/01/2008","1,545.83","1,771.19","1,841.63","1,501.73","","-11.78%"
"06/01/2008","1,752.16","1,585.20","1,796.60","1,530.31","","9.55%"
"05/01/2008","1,599.39","1,432.22","1,696.34","1,383.92","","12.37%"
"04/01/2008","1,423.31","1,256.73","1,499.34","1,243.87","","12.27%"
"03/01/2008","1,267.71","1,254.73","1,372.92","1,221.26","","0.82%"
"02/01/2008","1,257.44","1,125.52","1,269.05","1,065.84","","10.92%"
"01/01/2008","1,133.67","1,186.19","1,230.97","1,065.72","","-3.99%"
"12/01/2007","1,180.78","1,086.98","1,204.40","1,055.38","","8.25%"
"11/01/2007","1,090.79","1,161.86","1,218.55","1,087.60","","-5.22%"
"10/01/2007","1,150.90","989.85","1,152.97","946.13","","16.75%"
"09/01/2007","985.74","883.65","1,010.97","873.43","","12.04%"
"08/01/2007","879.85","924.54","933.31","815.91","","-5.08%"
"07/01/2007","926.91","841.35","927.50","828.84","","10.12%"
"06/01/2007","841.70","771.56","845.75","767.05","","9.24%"
"05/01/2007","770.49","796.77","807.44","750.49","","-5.23%"
"04/01/2007","812.97","851.90","851.90","783.40","","-4.47%"
"03/01/2007","851.00","824.62","853.06","765.47","","3.55%"
"02/01/2007","821.83","771.72","821.83","771.72","","4.96%"
"01/01/2007","783.03","837.85","837.85","697.78","","-6.54%"
"12/01/2006","837.85","884.25","884.25","828.10","","-4.80%"
"11/01/2006","880.06","843.87","880.06","816.50","","4.25%"
"10/01/2006","844.16","902.19","902.19","838.84","","-9.23%"
"09/01/2006","929.98","1,039.13","1,039.13","895.09","","-11.87%"
"08/01/2006","1,055.20","1,146.39","1,178.07","1,046.94","","-7.32%"
"07/01/2006","1,138.59","1,150.83","1,204.55","1,120.83","","-1.06%"
"06/01/2006","1,150.83","1,106.16","1,150.83","1,078.60","","2.65%"
"05/01/2006","1,121.10","1,183.73","1,198.35","1,089.65","","-2.89%"
"04/01/2006","1,154.50","1,093.77","1,207.34","1,085.41","","5.73%"
"03/01/2006","1,091.96","1,046.47","1,100.48","1,012.31","","5.30%"
"02/01/2006","1,037.01","1,142.36","1,142.36","1,000.54","","-11.04%"
"01/01/2006","1,165.70","1,094.89","1,175.31","1,088.83","","10.13%"
"12/01/2005","1,058.48","1,030.08","1,080.50","1,006.63","","4.82%"
"11/01/2005","1,009.82","1,071.63","1,106.19","995.37","","-5.63%"
"10/01/2005","1,070.02","1,165.17","1,165.17","1,070.02","","-9.23%"
"09/01/2005","1,178.87","1,250.19","1,250.19","1,127.26","","-4.98%"
"08/01/2005","1,240.65","1,125.79","1,256.31","1,112.80","","12.02%"
"07/01/2005","1,107.50","1,091.50","1,138.51","1,044.60","","5.51%"
"06/01/2005","1,049.70","1,037.44","1,124.76","998.89","","6.30%"
"05/01/2005","987.47","996.62","1,018.12","924.38","","1.47%"
"04/01/2005","973.14","1,152.98","1,152.98","973.14","","-12.75%"
"03/01/2005","1,115.33","1,053.14","1,156.81","1,053.14","","5.76%"
"02/01/2005","1,054.57","973.53","1,054.57","935.51","","5.90%"
"01/01/2005","995.84","874.12","1,025.59","874.12","","10.44%"
"12/01/2004","901.73","956.03","966.48","857.52","","-12.67%"
"11/01/2004","1,032.52","1,055.87","1,071.67","970.95","","-5.29%"
"10/01/2004","1,090.20","1,047.99","1,162.03","1,043.60","","5.03%"
"09/01/2004","1,037.96","920.16","1,043.39","894.44","","17.84%"
"08/01/2004","880.85","906.93","996.29","880.85","","-2.83%"
"07/01/2004","906.52","804.99","906.52","797.72","","17.75%"
"06/01/2004","769.88","883.91","883.91","740.99","","-7.55%"
"05/01/2004","832.75","795.16","871.17","795.16","","7.05%"
"04/01/2004","777.89","703.44","781.01","703.44","","5.98%"
"03/01/2004","734.02","740.98","772.20","719.67","","0.98%"
"02/01/2004","726.91","687.25","726.91","638.13","","11.95%"
"01/01/2004","649.33","631.54","686.46","631.54","","2.82%"
"12/01/2003","631.54","579.53","655.42","579.53","","7.32%"
"11/01/2003","588.44","553.10","632.75","550.23","","5.62%"
"10/01/2003","557.12","563.45","613.57","544.87","","-0.48%"
"09/01/2003","559.81","565.63","567.17","518.97","","-7.80%"
"08/01/2003","607.18","619.63","621.17","590.44","","3.67%"
"07/01/2003","585.69","578.14","596.62","565.55","","2.01%"
"06/01/2003","574.14","563.28","590.76","542.19","","5.89%"
"05/01/2003","542.19","472.56","542.19","466.02","","15.76%"
"04/01/2003","468.38","519.20","523.39","458.22","","-13.45%"
"03/01/2003","541.17","604.58","636.59","469.17","","-12.25%"
"02/01/2003","616.71","536.33","635.24","536.33","","12.41%"
"01/01/2003","548.61","510.97","554.18","490.28","","9.60%"
"12/01/2002","500.54","436.92","524.93","428.41","","16.05%"
