price,volume,date,volatility,index,crash_label
760.3699951171875,397300000,1997-04-21,53.86673081363792,^GSPC,0
774.6099853515625,507500000,1997-04-22,53.86243926951992,^GSPC,0
773.6400146484375,489350000,1997-04-23,53.84279390510701,^GSPC,0
771.1799926757812,493640000,1997-04-24,53.820812484411526,^GSPC,0
765.3699951171875,414350000,1997-04-25,53.77459065545255,^GSPC,0
772.9600219726562,404470000,1997-04-28,53.75795322149045,^GSPC,0
794.0499877929688,547690000,1997-04-29,53.842341849923855,^GSPC,0
801.3400268554688,556070000,1997-04-30,53.966302422529154,^GSPC,0
798.530029296875,460380000,1997-05-01,54.01008509059397,^GSPC,0
812.969970703125,499770000,1997-05-02,54.13028926641928,^GSPC,0
830.2899780273438,549410000,1997-05-05,54.36762203680709,^GSPC,0
827.760009765625,603680000,1997-05-06,54.55841350990248,^GSPC,0
815.6199951171875,500580000,1997-05-07,54.685937572874806,^GSPC,0
820.260009765625,534120000,1997-05-08,54.84113208782532,^GSPC,0
824.780029296875,455690000,1997-05-09,55.05521752339632,^GSPC,0
837.6599731445312,459370000,1997-05-12,55.40536085860391,^GSPC,0
833.1300048828125,489760000,1997-05-13,55.72552757761563,^GSPC,0
836.0399780273438,504960000,1997-05-14,56.05813657548572,^GSPC,0
841.8800048828125,458170000,1997-05-15,56.42548795215703,^GSPC,0
829.75,486780000,1997-05-16,56.70403309908191,^GSPC,0
833.27001953125,345140000,1997-05-19,57.01627707252297,^GSPC,0
841.6599731445312,450850000,1997-05-20,57.38306410166992,^GSPC,0
839.3499755859375,540730000,1997-05-21,57.7417086844413,^GSPC,0
835.6599731445312,426940000,1997-05-22,58.05490670545388,^GSPC,0
847.030029296875,417030000,1997-05-23,58.45593804648649,^GSPC,0
849.7100219726562,436150000,1997-05-27,58.84546777883352,^GSPC,0
847.2100219726562,487340000,1997-05-28,59.186794971011466,^GSPC,0
844.0800170898438,462600000,1997-05-29,59.50878021659936,^GSPC,0
848.280029296875,537200000,1997-05-30,59.84293558422932,^GSPC,0
846.3599853515625,435950000,1997-06-02,60.146066474495626,^GSPC,0
845.47998046875,527120000,1997-06-03,60.4528217093958,^GSPC,0
840.1099853515625,466690000,1997-06-04,60.73388244432793,^GSPC,0
843.4299926757812,452610000,1997-06-05,61.00976239059654,^GSPC,0
858.010009765625,488940000,1997-06-06,61.38806274002404,^GSPC,0
862.9099731445312,465810000,1997-06-09,61.7902228121131,^GSPC,0
865.27001953125,526980000,1997-06-10,62.19496673361833,^GSPC,0
869.5700073242188,513740000,1997-06-11,62.61506904381802,^GSPC,0
883.4600219726562,592730000,1997-06-12,63.13915325736959,^GSPC,0
893.27001953125,575810000,1997-06-13,63.72998706760373,^GSPC,0
893.9000244140625,414280000,1997-06-16,64.30552548043094,^GSPC,0
894.4199829101562,543010000,1997-06-17,64.85347979032154,^GSPC,0
889.0599975585938,491740000,1997-06-18,65.3341812891334,^GSPC,0
897.989990234375,536940000,1997-06-19,65.88137962911304,^GSPC,0
898.7000122070312,653110000,1997-06-20,66.43982475773298,^GSPC,0
878.6199951171875,492940000,1997-06-23,66.81719751340549,^GSPC,0
896.3400268554688,542650000,1997-06-24,67.33005359174692,^GSPC,0
888.989990234375,603040000,1997-06-25,67.74442154829116,^GSPC,0
883.6799926757812,499780000,1997-06-26,68.12074567990459,^GSPC,0
887.2999877929688,472540000,1997-06-27,68.52278896287592,^GSPC,0
885.1400146484375,561540000,1997-06-30,68.91732344005086,^GSPC,0
891.030029296875,544190000,1997-07-01,69.33690112263234,^GSPC,0
904.030029296875,526970000,1997-07-02,69.84727099787574,^GSPC,0
916.9199829101562,374680000,1997-07-03,70.38510427068121,^GSPC,0
912.2000122070312,518780000,1997-07-07,70.8339877022587,^GSPC,0
918.75,526010000,1997-07-08,71.33675290593821,^GSPC,0
907.5399780273438,589110000,1997-07-09,71.72902184163604,^GSPC,0
913.780029296875,551340000,1997-07-10,72.09888157733432,^GSPC,0
916.6799926757812,500050000,1997-07-11,72.4796479305123,^GSPC,0
918.3800048828124,485960000,1997-07-14,72.7502001399518,^GSPC,0
925.760009765625,598370000,1997-07-15,73.05736158706236,^GSPC,0
936.5900268554688,647390000,1997-07-16,73.48463000822919,^GSPC,0
931.6099853515624,629250000,1997-07-17,73.90598718404603,^GSPC,0
915.2999877929688,589710000,1997-07-18,74.13475246621867,^GSPC,0
912.9400024414062,459500000,1997-07-21,74.29368872020223,^GSPC,0
933.97998046875,579590000,1997-07-22,74.56512687271326,^GSPC,0
936.5599975585938,616930000,1997-07-23,74.83731217453521,^GSPC,0
940.2999877929688,571020000,1997-07-24,75.15539620056671,^GSPC,0
938.7899780273438,521510000,1997-07-25,75.472086069475,^GSPC,0
936.4500122070312,466920000,1997-07-28,75.71191147273075,^GSPC,0
942.2899780273438,544540000,1997-07-29,76.01459947596172,^GSPC,0
952.2899780273438,568470000,1997-07-30,76.42094553943615,^GSPC,0
954.3099975585938,547830000,1997-07-31,76.89080882935946,^GSPC,0
947.1400146484376,513750000,1997-08-01,77.34948456419289,^GSPC,0
950.2999877929688,456000000,1997-08-04,77.8038593467621,^GSPC,0
952.3699951171876,525710000,1997-08-05,78.2696302973779,^GSPC,0
960.3200073242188,565200000,1997-08-06,78.79792093885436,^GSPC,0
951.1900024414062,576030000,1997-08-07,79.21490142882989,^GSPC,0
933.5399780273438,563420000,1997-08-08,79.46666306896802,^GSPC,0
937.0,480340000,1997-08-11,79.75115846224026,^GSPC,0
926.530029296875,499310000,1997-08-12,79.9089644726101,^GSPC,0
922.02001953125,587210000,1997-08-13,80.03198134493975,^GSPC,0
924.77001953125,530460000,1997-08-14,80.16191420771152,^GSPC,0
900.8099975585938,537820000,1997-08-15,80.14374367356253,^GSPC,0
912.489990234375,514330000,1997-08-18,80.19284684161367,^GSPC,0
926.010009765625,545630000,1997-08-19,80.31340239883437,^GSPC,0
939.3499755859376,521270000,1997-08-20,80.51218374961786,^GSPC,0
925.0499877929688,499000000,1997-08-21,80.628329770506,^GSPC,0
923.5399780273438,460160000,1997-08-22,80.69978806253947,^GSPC,0
920.1599731445312,388990000,1997-08-25,80.71696606114152,^GSPC,0
913.02001953125,449110000,1997-08-26,80.69322639008838,^GSPC,0
913.7000122070312,492150000,1997-08-27,80.65158105058619,^GSPC,0
903.6699829101562,486300000,1997-08-28,80.49217203394953,^GSPC,0
899.469970703125,413910000,1997-08-29,80.26062954187489,^GSPC,0
927.5800170898438,491870000,1997-09-02,80.199823223909,^GSPC,0
927.8599853515624,549060000,1997-09-03,80.13238556443221,^GSPC,0
930.8699951171876,559310000,1997-09-04,80.02509367171953,^GSPC,0
929.0499877929688,536400000,1997-09-05,79.93585086533915,^GSPC,0
931.2000122070312,466430000,1997-09-08,79.9023654712529,^GSPC,0
933.6199951171876,502200000,1997-09-09,79.87084380313621,^GSPC,0
919.030029296875,517620000,1997-09-10,79.75853217578164,^GSPC,0
