drawdown_start,drawdown_end,duration,drawdown,index
2003-11-12,2003-11-13,1,-0.019596396671456382,000001.SS
2005-09-06,2005-09-07,1,-0.019518919034766862,000001.SS
2006-01-13,2006-01-17,4,-0.019513517230131103,000001.SS
2002-06-05,2002-06-06,1,-0.019503446023213064,000001.SS
2016-07-27,2016-07-28,1,-0.019440845980180865,000001.SS
2011-04-19,2011-04-20,1,-0.01943557478334546,000001.SS
2004-12-23,2004-12-24,1,-0.019373652578588915,000001.SS
2005-11-22,2005-11-23,1,-0.0193700527389335,000001.SS
2010-05-25,2010-05-26,1,-0.019367282140533883,000001.SS
2010-05-11,2010-05-12,1,-0.019332453559924013,000001.SS
2011-07-18,2011-07-22,4,-0.019269050235439348,000001.SS
2015-12-08,2015-12-09,1,-0.01926673879105833,000001.SS
2018-07-04,2018-07-06,2,-0.01921110519246322,000001.SS
2003-09-04,2003-09-10,6,-0.019189940784188248,000001.SS
2001-07-04,2001-07-10,6,-0.019152559473060424,000001.SS
2019-05-13,2019-05-15,2,-0.01914784815507624,000001.SS
2005-02-28,2005-03-03,3,-0.019138542657726205,000001.SS
